price,location,bedroom,bathroom,garage,floorSize,propertyType
7950000.0,Sea Point,4.0,3.5,,267.0,House
10990000.0,Sea Point,3.0,2.0,1.0,226.0,Apartment
2995000.0,Oranjezicht,3.0,1.0,1.0,104.0,Apartment
2095000.0,Kirstenhof,3.0,1.0,2.0,87.0,Townhouse
2595000.0,Vredehoek,2.0,2.0,2.0,73.0,Apartment
2600000.0,Kirstenhof,3.0,2.0,3.0,840.0,House
3650000.0,De Waterkant,2.0,2.0,4.0,100.0,Apartment
3650000.0,Tamboerskloof,2.0,1.0,1.0,88.0,Apartment
19995000.0,Waterfront,2.0,2.0,2.0,159.0,Apartment
65000000.0,Camps Bay,8.0,8.5,4.0,,House
4850000.0,Newlands,4.0,2.0,2.0,894.0,House
2290000.0,Cape Town City Centre,1.0,1.5,1.0,106.0,Apartment
3299000.0,Sea Point,1.0,1.0,1.0,71.0,Apartment
5495000.0,Fresnaye,2.0,2.0,1.0,,Apartment
1730000.0,Muizenberg,1.0,1.0,1.0,62.0,Apartment
4295000.0,Sea Point,2.0,1.5,2.0,101.0,Apartment
2100000.0,Oranjezicht,1.0,1.0,1.0,54.0,Apartment
3250000.0,Meadowridge,3.0,2.0,2.0,716.0,House
8500000.0,Clifton,1.0,1.0,,59.0,Apartment
1400000.0,Cape Town City Centre,1.0,1.0,1.0,53.0,Apartment
4150000.0,Mouille Point,2.0,2.5,,81.0,Apartment
2195000.0,Sea Point,1.0,1.0,,50.0,Apartment
2350000.0,Oranjezicht,2.0,1.0,,70.0,Apartment
4895000.0,Green Point,2.0,1.0,1.0,89.0,Apartment
5175000.0,Rondebosch,4.0,3.0,7.0,729.0,House
8950000.0,Sea Point,3.0,2.0,2.0,166.0,Apartment
32000000.0,Constantia,4.0,4.5,8.0,,House
2695000.0,Gardens,2.0,2.0,1.0,89.0,Apartment
2800000.0,Three Anchor Bay,3.0,1.0,1.0,85.0,Apartment
6995000.0,Sea Point,3.0,2.5,2.0,270.0,Townhouse
850000.0,Muizenberg,2.0,1.0,1.0,45.0,Apartment
19900000.0,Constantia,5.0,5.5,7.0,,House
5450000.0,Claremont,3.0,2.0,2.0,145.0,Apartment
2350000.0,Claremont Upper,2.0,2.0,1.0,75.0,Apartment
9980000.0,Lakeside,10.0,6.0,8.0,,House
5200000.0,Newlands,3.0,2.0,2.0,495.0,House
3400000.0,Oranjezicht,3.0,2.0,1.0,138.0,Apartment
1950000.0,Woodstock,2.0,2.0,2.0,82.0,Apartment
2500000.0,Claremont,3.0,2.0,3.0,312.0,House
7950000.0,Sea Point,3.0,2.5,1.0,174.0,Apartment
2925000.0,Kenilworth Upper,3.0,2.0,2.0,112.0,Apartment
3175000.0,Claremont Upper,2.0,3.0,1.0,81.0,Apartment
3995000.0,Rondebosch,3.0,2.5,5.0,319.0,House
3799000.0,Fresnaye,2.0,1.0,1.0,120.0,Apartment
2100000.0,Oranjezicht,1.0,1.0,1.0,66.0,Apartment
1850000.0,Sea Point,0.5,1.0,,52.0,Apartment
1600000.0,Zonnebloem,2.0,1.0,1.0,63.0,Apartment
2450000.0,Claremont Upper,2.0,2.0,3.0,122.0,Apartment
4500000.0,Gardens,3.0,2.0,2.0,141.0,Apartment
1875000.0,Kenilworth,2.0,1.5,2.0,82.0,Apartment
17995000.0,Llandudno,5.0,5.0,5.0,991.0,House
1795000.0,Cape Town City Centre,1.0,1.0,1.0,63.0,Apartment
1595000.0,Vredehoek,0.5,1.0,1.0,45.0,Apartment
1600000.0,Zonnebloem,3.0,2.0,1.0,75.0,Apartment
2800000.0,Cape Town City Centre,1.0,1.0,1.0,67.0,Apartment
2750000.0,Kenilworth,2.0,1.0,1.0,242.0,House
3650000.0,Bergvliet,4.0,3.0,4.0,833.0,House
11900000.0,Camps Bay,5.0,5.0,3.0,902.0,House
4400000.0,Claremont,4.0,2.0,3.0,396.0,House
2250000.0,Cape Town City Centre,1.0,1.0,,80.0,Apartment
1360000.0,Cape Town City Centre,,1.0,1.0,30.0,Apartment
2495000.0,Vredehoek,2.0,1.0,2.0,85.0,Apartment
